순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
173,신기한 맛 도깨비 식당 7,"김용세, 김병섭 (지은이), 센개 (그림)",꿈터,2024,7,9.79117E+12,,,44
173,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,62,9.79117E+12,77720,711.4,44
173,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,1,9.79119E+12,74810,813.7,44
173,설민석의 삼국지 대모험,원작: 나관중 ;만화: 스튜디오 담,Dankkum i(단꿈아이),2021,17,9.79119E+12,77820,823.5,44
173,설민석의 삼국지 대모험,원작: 나관중 ;만화: 스튜디오 담,Dankkum i(단꿈아이),2021,19,9.79119E+12,77820,823.5,44
173,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,29,9.79119E+12,74910,911,44
185,흔한남매 과학 탐험대 3 : 인체,"흔한남매 (원작), 이재국, 이현진, 서지은 (글), 김덕영 (그림), 정현철, 김희목, 권경아, 최진수, 박준건 (기획)",주니어김영사,2021,3,9.78893E+12,,,43
185,비밀요원 레너드,글: 박설연 ;그림: 김덕영,아울북(북이십일 아울북),2022,16,9.78895E+12,74810,813.7,43
185,우리들의 MBTI 3 : 가족 관계 (한정판 윈터 에디션) - 나의 성격을 이해하고 더 멋진 내가 되는,"조수연 (지은이), 소윤 (그림)",다산어린이,2022,3,9.79113E+12,,,43
185,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,7,9.79113E+12,74810,813.7,43
185,(신기한 맛) 도깨비 식당,"김용세,센개 그림",꿈터,2022,4,9.79117E+12,74810,813.7,43
185,변호사 어벤저스 :어린이 법학 동화,글: 고희정 ;그림: 최미란,가나문화콘텐츠,2024,1,9.79117E+12,74810,360,43
185,내일은 발명왕 :본격 대결 과학발명 만화,글: 곰돌이 co. ;그림: 홍종현,Mirae N 아이세움,2011,37,9.79117E+12,77400,507.5,43
185,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,8,9.79117E+12,77490,472,43
185,환생학교 요괴반 :웃소의 판타지 미션 코믹북,원작: 웃소 ;그림: 파키나미,미래엔,2023,2,9.79117E+12,77810,810,43
185,Go go 카카오프렌즈 :자연탐사,글: 조주희 ;이혜림,아울북(북이십일 아울북),2022,6,9.79117E+12,74400,472,43
185,(타키포오) 얼렁뚱땅 상식스쿨,원작: 캐릭온TV ;그림: 조수현,대원씨아이,2023,2,9.79117E+12,77810,31,43
185,(백종원의) 도전 요리왕 :음식으로 맛보는 세계 역사 문화 체험 ,"글: 백종원,그림: 이정태",위즈덤하우스 미디어그룹,2019,2,9.79119E+12,74900,594,43
185,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,3,9.79119E+12,74810,813.7,43
185,(백종원의) 도전 요리왕 :음식으로 맛보는 세계 역사 문화 체험 ,"글: 백종원,그림: 이정태",위즈덤하우스 미디어그룹,2019,5,9.79119E+12,74900,594,43
185,(설민석의) 그리스 로마 신화 대모험,"글: 설민석,라임스튜디오",Dankkum i(단꿈아이),2022,7,9.79119E+12,77890,219,43
200,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;정보글: 최은하,아울북(북이십일 아울북),2018,26,9.78895E+12,74900,980.2,42
200,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,57,9.78895E+12,77720,711.4,42
200,흔한남매 불꽃 튀는 우리말 1 - 초등 국어 고수 되기 프로젝트,흔한남매 (원작)|한은호,다산어린이,2021,1,9.79113E+12,,,42
200,수상한 이웃집 시노다,도미야스 요코 글 ;송지현 옮김,다산북스,2023,1,9.79113E+12,74830,833.6,42
200,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,6,9.79113E+12,74810,813.7,42
